Sample #	Timepoint	Tissue	Animal #	Ct_genomic	copies_genomic	TCID50 eq/1ML	log10TCID50eq/mL	Ct_subgenomic	copies_subgenomic	TCID50 eq/1ML.1	log10TCID50eq/mL.1	log10_copies_subgenomic	hamster_id	animal_name	sex	sacrifice_day	variant	cage_id	log10_tcid50	n_positive_wells	starting_row_dilution
15	1	oral swab	CoV1290	18.8339786529541	588928.0	126198857.14285715	8.101055421954088	24.374862670898438	46441.21484375	9951688.895089285	6.997896790853789	4.666903571812364	1290	CoV1290	M	D14	Delta	6	3.0	6	-1
35	2	oral swab	CoV1290	20.40386390686035	196994.78125	42213167.41071429	7.6254479401048005	24.506793975830078	42464.828125	9099606.026785715	6.959022589673085	4.62802937063166	1290	CoV1290	M	D14	Delta	6	2.75	5	-1
55	3	oral swab	CoV1290	21.46476173400879	93982.8125	20139174.10714286	7.304041656482494	25.62818145751953	19842.984375	4252068.080357143	6.628600209446446	4.297606990405021	1290	CoV1290	M	D14	Delta	6	2.5	4	-1
75	4	oral swab	CoV1290	22.614910125732422	42131.12890625	9028099.051339285	6.9555963152721505	26.32565689086914	12362.103515625	2649022.181919643	6.423085594931797	4.092092375890372	1290	CoV1290	M	D14	Delta	6	1.5	4	0
95	5	oral swab	CoV1290	18.58233642578125	195665.53125	41928328.125	7.62250754543331	23.53837776184082	24871.794921875	5329670.340401786	6.726700347155636	4.395707128114211	1290	CoV1290	M	D14	Delta	6	0.5	0	0
107	7	oral swab	CoV1290	19.731231689453125	85451.5625	18311049.10714286	7.262713227337781	24.282358169555664	14377.3583984375	3080862.513950893	6.488672317997325	4.157679098955899	1290	CoV1290	M	D14	Delta	6	0.5	0	0
16	1	oral swab	CoV1291	20.183897018432617	229665.1875	49213968.75	7.692088389149606	25.639869689941406	19686.25	4218482.142857143	6.625156215046871	4.294162996005446	1291	CoV1291	F	D14	Delta	7	2.5	4	-1
36	2	oral swab	CoV1291	21.503210067749023	91495.609375	19606202.00892857	7.292393472999015	25.6746826171875	19226.71875	4120011.160714286	6.614898392496742	4.283905173455317	1291	CoV1291	F	D14	Delta	7	2.75	5	-1
56	3	oral swab	CoV1291	20.668363571166992	163803.328125	35100713.16964286	7.5453159404685035	25.029151916503906	29792.984375	6384210.9375	6.805107227885101	4.474114008843675	1291	CoV1291	F	D14	Delta	7	1.75	5	0
76	4	oral swab	CoV1291	22.226591110229492	55239.15234375	11836961.216517858	7.073240224660248	26.257455825805664	12947.56640625	2774478.515625	6.443181366172483	4.112188147131058	1291	CoV1291	F	D14	Delta	7	1.75	5	0
96	5	oral swab	CoV1291	21.40033531188965	25645.689453125	5495504.8828125	6.740007598078324	26.254253387451172	3363.51806640625	720753.8713727678	5.857786983784928	3.5267937647435033	1291	CoV1291	F	D14	Delta	7	0.5	0	0
108	7	oral swab	CoV1291	20.407190322875977	52484.74609375	11246731.305803573	7.05102631959211	24.82494354248047	9640.1796875	2065752.7901785716	6.315078348023345	3.98408512898192	1291	CoV1291	F	D14	Delta	7	0.5	0	0
